wilayah,penduduk,total_kasus,total_meninggal,ir_total,cfr,tahun,cluster,pc1,pc2,cluster_label
Mijen,73728.0,57.0,3.0,77.31,5.26,2022,2,3.1602167365691587,0.7820756454746202,Rank_1
Ngaliyan,138525.0,91.0,5.0,65.69,5.49,2022,2,4.9690517110608265,0.18240698606123096,Rank_1
Pedurungan,192653.0,80.0,0.0,41.53,0.0,2022,1,1.9378182206663033,-2.5731308975438134,Rank_2
Semarang Barat,159222.0,75.0,5.0,47.1,6.67,2022,2,4.217310669107548,0.4311114626716529,Rank_1
Semarang Selatan,69530.0,28.0,0.0,40.27,0.0,2022,0,-0.31869050759589385,-0.40389632779605783,Rank_4
Semarang Tengah,61288.0,16.0,2.0,26.11,12.5,2022,3,0.4832596047593359,2.5763795108867757,Rank_3
Semarang Timur,73546.0,21.0,1.0,28.55,4.76,2022,3,-0.11983599930592538,0.7701434889429608,Rank_3
Semarang Utara,126148.0,66.0,3.0,52.32,4.55,2022,2,2.951008745198423,-0.007818843930098216,Rank_1
Tembalang,178914.0,123.0,0.0,68.75,0.0,2022,1,3.1897216230282575,-2.783355222184471,Rank_2
Tugu,33634.0,28.0,5.0,83.25,17.86,2022,2,3.758335754612959,4.363629283681209,Rank_1
Banyumanik,139846.0,62.0,2.0,44.33,3.23,2021,1,2.2087791253301754,-0.5943399759007839,Rank_2
Candisari,80625.0,10.0,0.0,12.4,0.0,2021,0,-1.5558270108446914,-0.1962510323306275,Rank_4
Gajah Mungkur,60243.0,10.0,0.0,16.6,0.0,2021,0,-1.5769140641238597,0.02275831233217835,Rank_4
Gayamsari,74109.0,8.0,0.0,10.79,0.0,2021,0,-1.7047447342263484,-0.08968867319091393,Rank_4
Genuk,114303.0,13.0,0.0,11.37,0.0,2021,0,-1.2614280227851273,-0.6160187955315058,Rank_4
Gunungpati,94065.0,27.0,0.0,28.7,0.0,2021,0,-0.5218886870742311,-0.6388120417265972,Rank_4
Mijen,73728.0,16.0,0.0,21.7,0.0,2021,0,-1.1670506383319934,-0.22974981945506892,Rank_4
Ngaliyan,138525.0,55.0,4.0,39.7,7.27,2021,2,2.957217993812637,0.7932129525082078,Rank_1
Pedurungan,192653.0,27.0,1.0,14.01,3.7,2021,1,0.3995942637879995,-0.7995701645107708,Rank_2
Semarang Barat,159222.0,20.0,0.0,12.56,0.0,2021,0,-0.7138461802071097,-1.2268279860495124,Rank_4
Semarang Selatan,69530.0,9.0,0.0,12.94,0.0,2021,0,-1.6468323738427788,-0.05819980367048987,Rank_4
Semarang Tengah,61288.0,5.0,1.0,8.16,20.0,2021,3,-0.42382418816502176,3.4088856481602945,Rank_3
Semarang Timur,73546.0,8.0,0.0,10.88,0.0,2021,0,-1.7061404642804017,-0.08358516978119833,Rank_4
Semarang Utara,126148.0,3.0,0.0,2.38,0.0,2021,0,-1.5530509672222272,-0.6004380411241897,Rank_4
Tembalang,178914.0,54.0,1.0,30.18,1.85,2021,1,1.3601755739077948,-1.400754239657179,Rank_2
Tugu,33634.0,5.0,0.0,14.87,0.0,2021,0,-1.9546128034177346,0.3996946518528994,Rank_4
Banyumanik,139846.0,24.0,0.0,17.16,0.0,2020,0,-0.6151700727227963,-1.0807361730391425,Rank_4
Candisari,80625.0,15.0,1.0,18.6,6.67,2020,3,-0.40839901878421725,1.1234523345081502,Rank_3
Gajah Mungkur,60243.0,9.0,0.0,14.94,0.0,2020,0,-1.653743277575113,0.04141228271719905,Rank_4
Gayamsari,74109.0,13.0,0.0,17.54,0.0,2020,0,-1.36905482931135,-0.1797447922314024,Rank_4
Genuk,114303.0,11.0,0.0,9.62,0.0,2020,0,-1.3660050465419624,-0.5819660551671711,Rank_4
Gunungpati,94065.0,19.0,0.0,20.2,0.0,2020,0,-0.9870898424318306,-0.49949101618737296,Rank_4
Mijen,73728.0,35.0,1.0,47.47,2.86,2020,3,0.703532712747145,0.19709372897694535,Rank_3
Ngaliyan,138525.0,27.0,0.0,19.49,0.0,2020,0,-0.47740339910024027,-1.1164447891888574,Rank_4
Pedurungan,192653.0,33.0,0.0,17.13,0.0,2020,1,0.0031157850630743737,-1.8075687134949667,Rank_2
Semarang Barat,159222.0,28.0,0.0,17.59,0.0,2020,1,-0.3571243044135106,-1.358954396679309,Rank_2
Semarang Selatan,69530.0,6.0,1.0,8.63,16.67,2020,3,-0.4035001338069992,3.0829803242801783,Rank_3
Semarang Tengah,61288.0,9.0,0.0,14.68,0.0,2020,0,-1.6540583835400084,0.030276117008111787,Rank_4
Semarang Timur,73546.0,5.0,0.0,6.8,0.0,2020,0,-1.9084922684360057,-0.029489297075267477,Rank_4
Semarang Utara,126148.0,18.0,0.0,14.27,0.0,2020,0,-0.9575369008403967,-0.8304304637086745,Rank_4
Tembalang,178914.0,64.0,1.0,35.77,1.56,2020,1,1.7661783245751348,-1.6131277323877333,Rank_2
Tugu,33634.0,4.0,0.0,11.89,0.0,2020,0,-2.0727079099596164,0.42108547862997897,Rank_4
